Model,Threshold,Recall,Precision,F1-Score,ROC-AUC
Logistic Regression,0.5,0.7183098591549296,0.6035502958579881,0.6559485530546624,0.7651719138359568
Logistic Regression,0.4,0.8485915492957746,0.5331858407079646,0.654891304347826,0.7651719138359568
Logistic Regression,0.35,0.897887323943662,0.4922779922779923,0.6359102244389028,0.7651719138359568
Random Forest,0.5,0.6901408450704225,0.6012269938650306,0.6426229508196721,0.7752652794595629
Random Forest,0.4,0.8380281690140845,0.5372460496613995,0.6547455295735901,0.7752652794595629
Random Forest,0.35,0.8873239436619719,0.509090909090909,0.6469833119383825,0.7752652794595629
Gradient Boosting,0.5,0.5598591549295775,0.6463414634146342,0.6,0.7608621184118285
Gradient Boosting,0.4,0.6690140845070423,0.5900621118012422,0.6270627062706271,0.7608621184118285
Gradient Boosting,0.35,0.7394366197183099,0.5817174515235457,0.6511627906976745,0.7608621184118285
