Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC
0.2,0.4765840220385675,0.4268292682926829,0.9859154929577465,0.5957446808510638,0.7752652794595629
0.25,0.5454545454545454,0.4606164383561644,0.9471830985915493,0.619815668202765,0.7752652794595629
0.3,0.5771349862258953,0.47866419294990725,0.9084507042253521,0.6269744835965978,0.7752652794595629
0.35,0.6212121212121212,0.509090909090909,0.8873239436619719,0.6469833119383825,0.7752652794595629
0.4,0.6542699724517906,0.5372460496613995,0.8380281690140845,0.6547455295735901,0.7752652794595629
0.45,0.6887052341597796,0.5747422680412371,0.7852112676056338,0.6636904761904762,0.7752652794595629
0.5,0.699724517906336,0.6012269938650306,0.6901408450704225,0.6426229508196721,0.7752652794595629
0.55,0.71900826446281,0.6515151515151515,0.6056338028169014,0.6277372262773723,0.7752652794595629
0.6,0.7079889807162535,0.6764705882352942,0.4859154929577465,0.5655737704918032,0.7752652794595629
0.65,0.7079889807162535,0.7222222222222222,0.4119718309859155,0.5246636771300448,0.7752652794595629
0.7,0.7052341597796143,0.7611940298507462,0.3591549295774648,0.4880382775119617,0.7752652794595629
