Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Full Model,0.7617079889807162,0.7126436781609196,0.6549295774647887,0.6825688073394496,0.8516107959977057
MVP Model,0.7713498622589532,0.736,0.647887323943662,0.6891385767790262,0.8541839270919636
